HG_224410	OG0224409: Ebro_g35013.t1
HG_113821	OG0113820: Ebro_g46879.t1 Ebro_g8409.t1
HG_113505	OG0113504: Ebro_g20908.t1 Ebro_g29595.t1
HG_113707	OG0113706: Ebro_g19068.t1 Ebro_g19069.t2
HG_113909	OG0113908: Ebro_g21507.t1 Ebro_g21510.t1
HG_16995	OG0016994: Ebro_g12671.t1 Ebro_g12834.t1 Ebro_g13862.t1 Ebro_g16762.t1 Ebro_g2164.t1 Ebro_g24240.t1 Ebro_g25445.t1 Ebro_g26054.t1 Ebro_g27236.t1 Ebro_g27655.t1 Ebro_g3115.t1 Ebro_g32272.t1 Ebro_g32416.t1 Ebro_g32417.t1 Ebro_g32417.t2 Ebro_g38440.t1 Ebro_g40604.t1 Ebro_g41952.t1 Ebro_g4200.t1 Ebro_g8450.t1 Ebro_g8839.t1 Ebro_g9849.t1
HG_225198	OG0225197: Ebro_g26344.t1
HG_226874	OG0226873: Ebro_g8516.t1
HG_226470	OG0226469: Ebro_g15209.t1
HG_226672	OG0226671: Ebro_g43615.t1
HG_226558	OG0226557: Ebro_g336.t1
HG_226356	OG0226355: Ebro_g24904.t1
HG_226154	OG0226153: Ebro_g17963.t1
HG_55758	OG0055757: Ebro_g14579.t2 Ebro_g1884.t1 Ebro_g25722.t1 Ebro_g34608.t1 Ebro_g4565.t1
HG_224780	OG0224779: Ebro_g43819.t1
HG_224982	OG0224981: Ebro_g46696.t1
HG_224464	OG0224463: Ebro_g21750.t1
HG_224666	OG0224665: Ebro_g26508.t1
HG_227110	OG0227109: Ebro_g23037.t1
HG_224868	OG0224867: Ebro_g8500.t1
HG_224060	OG0224059: Ebro_g29750.t1
HG_224262	OG0224261: Ebro_g33434.t1
HG_224148	OG0224147: Ebro_g31597.t1
HG_225622	OG0225621: Ebro_g32936.t1
HG_225824	OG0225823: Ebro_g39780.t1
HG_225420	OG0225419: Ebro_g18877.t2
HG_225508	OG0225507: Ebro_g13831.t1
HG_225104	OG0225103: Ebro_g36053.t1
HG_225306	OG0225305: Ebro_g2608.t3
HG_7459	OG0007458: Ebro_g10132.t1 Ebro_g10132.t2 Ebro_g10361.t1 Ebro_g10443.t1 Ebro_g10542.t1 Ebro_g10598.t1 Ebro_g11256.t1 Ebro_g11952.t1 Ebro_g12980.t1 Ebro_g12985.t1 Ebro_g12986.t1 Ebro_g14057.t1 Ebro_g14058.t1 Ebro_g14744.t1 Ebro_g14968.t1 Ebro_g15846.t1 Ebro_g16716.t1 Ebro_g17712.t1 Ebro_g18481.t1 Ebro_g18689.t1 Ebro_g1880.t1 Ebro_g18849.t1 Ebro_g18958.t1 Ebro_g19053.t1 Ebro_g19825.t1 Ebro_g20256.t1 Ebro_g20534.t1 Ebro_g21304.t1 Ebro_g21305.t1 Ebro_g22815.t1 Ebro_g22848.t1 Ebro_g2295.t1 Ebro_g2296.t1 Ebro_g23533.t1 Ebro_g24113.t1 Ebro_g24214.t1 Ebro_g24328.t1 Ebro_g24329.t1 Ebro_g24585.t1 Ebro_g25293.t1 Ebro_g25675.t1 Ebro_g27142.t1 Ebro_g27238.t2 Ebro_g27319.t1 Ebro_g27522.t1 Ebro_g27523.t1 Ebro_g27712.t1 Ebro_g27863.t1 Ebro_g2799.t1 Ebro_g28281.t1 Ebro_g28720.t1 Ebro_g29244.t1 Ebro_g29436.t2 Ebro_g3041.t1 Ebro_g3051.t1 Ebro_g3052.t1 Ebro_g30959.t1 Ebro_g31080.t1 Ebro_g31452.t1 Ebro_g31456.t1 Ebro_g3214.t1 Ebro_g3215.t1 Ebro_g32160.t1 Ebro_g32161.t1 Ebro_g32483.t1 Ebro_g32484.t1 Ebro_g33871.t1 Ebro_g33890.t1 Ebro_g3394.t1 Ebro_g34045.t1 Ebro_g34272.t1 Ebro_g34803.t1 Ebro_g3486.t1 Ebro_g34871.t1 Ebro_g34872.t1 Ebro_g34908.t1 Ebro_g34909.t1 Ebro_g36090.t1 Ebro_g37168.t1 Ebro_g37193.t1 Ebro_g37643.t1 Ebro_g37644.t1 Ebro_g38442.t1 Ebro_g39226.t1 Ebro_g39331.t1 Ebro_g40055.t1 Ebro_g40346.t1 Ebro_g40406.t1 Ebro_g40407.t1 Ebro_g40798.t1 Ebro_g40801.t1 Ebro_g41003.t1 Ebro_g41622.t2 Ebro_g43076.t1 Ebro_g43861.t1 Ebro_g43862.t1 Ebro_g44295.t2 Ebro_g44548.t1 Ebro_g44640.t1 Ebro_g45152.t1 Ebro_g45152.t2 Ebro_g45349.t1 Ebro_g45541.t1 Ebro_g45658.t1 Ebro_g45658.t2 Ebro_g45843.t1 Ebro_g4586.t2 Ebro_g4587.t2 Ebro_g46.t1 Ebro_g4635.t1 Ebro_g5405.t2 Ebro_g5725.t1 Ebro_g5731.t1 Ebro_g6323.t1 Ebro_g6598.t1 Ebro_g6692.t1 Ebro_g7137.t1 Ebro_g7139.t1 Ebro_g7223.t1 Ebro_g7956.t1 Ebro_g8017.t1 Ebro_g8521.t1 Ebro_g8522.t1 Ebro_g8979.t1
HG_10277	OG0010276: Ebro_g10167.t1 Ebro_g10567.t2 Ebro_g11902.t1 Ebro_g11974.t1 Ebro_g11999.t1 Ebro_g13114.t1 Ebro_g14088.t1 Ebro_g1576.t1 Ebro_g1576.t2 Ebro_g16442.t1 Ebro_g16629.t1 Ebro_g16748.t2 Ebro_g18579.t1 Ebro_g19812.t1 Ebro_g20333.t1 Ebro_g22010.t1 Ebro_g22141.t1 Ebro_g22603.t1 Ebro_g23321.t1 Ebro_g23794.t1 Ebro_g26086.t1 Ebro_g26510.t1 Ebro_g27417.t1 Ebro_g27605.t1 Ebro_g2764.t1 Ebro_g2793.t1 Ebro_g2810.t1 Ebro_g29629.t1 Ebro_g29864.t1 Ebro_g2989.t1 Ebro_g30576.t1 Ebro_g30849.t1 Ebro_g31743.t1 Ebro_g32277.t1 Ebro_g33983.t1 Ebro_g354.t1 Ebro_g3882.t1 Ebro_g38921.t1 Ebro_g38977.t1 Ebro_g3915.t1 Ebro_g39162.t1 Ebro_g40385.t1 Ebro_g41395.t1 Ebro_g42616.t1 Ebro_g43362.t2 Ebro_g45149.t1 Ebro_g45154.t1 Ebro_g45339.t1 Ebro_g45560.t1 Ebro_g4571.t1 Ebro_g45899.t1 Ebro_g46089.t1 Ebro_g5180.t1 Ebro_g5769.t1 Ebro_g6165.t3 Ebro_g7744.t1
HG_113832	OG0113831: Ebro_g16753.t1 Ebro_g22367.t1
HG_113516	OG0113515: Ebro_g15506.t1 Ebro_g33836.t1
HG_113718	OG0113717: Ebro_g41101.t1 Ebro_g41101.t2
HG_226481	OG0226480: Ebro_g20371.t1
HG_226683	OG0226682: Ebro_g37648.t1
HG_226885	OG0226884: Ebro_g6933.t1
HG_37804	OG0037803: Ebro_g19997.t1 Ebro_g25535.t1 Ebro_g25537.t1 Ebro_g25538.t1 Ebro_g25539.t1 Ebro_g27189.t2 Ebro_g29142.t1 Ebro_g29143.t1
HG_226367	OG0226366: Ebro_g32436.t1
HG_226569	OG0226568: Ebro_g14216.t1
HG_226165	OG0226164: Ebro_g7225.t1
HG_10172	OG0010171: Ebro_g10361.t2 Ebro_g10599.t1 Ebro_g11255.t1 Ebro_g11503.t1 Ebro_g11804.t1 Ebro_g11951.t1 Ebro_g14967.t1 Ebro_g14967.t2 Ebro_g16717.t1 Ebro_g17714.t1 Ebro_g18482.t1 Ebro_g1880.t2 Ebro_g18957.t1 Ebro_g19054.t1 Ebro_g20535.t1 Ebro_g21303.t1 Ebro_g22847.t1 Ebro_g24206.t1 Ebro_g24327.t1 Ebro_g25294.t1 Ebro_g25406.t1 Ebro_g27143.t1 Ebro_g27238.t3 Ebro_g28614.t1 Ebro_g30003.t1 Ebro_g3042.t1 Ebro_g3050.t1 Ebro_g31453.t1 Ebro_g31455.t1 Ebro_g31751.t1 Ebro_g32159.t1 Ebro_g3216.t1 Ebro_g32485.t1 Ebro_g33872.t1 Ebro_g34046.t2 Ebro_g34783.t1 Ebro_g3485.t1 Ebro_g34872.t2 Ebro_g37078.t2 Ebro_g37169.t1 Ebro_g37645.t1 Ebro_g40345.t1 Ebro_g40796.t1 Ebro_g40802.t1 Ebro_g41002.t1 Ebro_g41620.t1 Ebro_g43413.t1 Ebro_g44639.t1 Ebro_g45153.t1 Ebro_g45348.t1 Ebro_g45540.t2 Ebro_g45844.t1 Ebro_g4586.t3 Ebro_g4634.t1 Ebro_g5405.t1 Ebro_g5732.t1 Ebro_g7138.t1
HG_224993	OG0224992: Ebro_g5866.t1
HG_224879	OG0224878: Ebro_g24350.t1
HG_83237	OG0083236: Ebro_g17108.t1 Ebro_g29962.t1 Ebro_g35977.t1
HG_224791	OG0224790: Ebro_g35941.t1
HG_224273	OG0224272: Ebro_g45490.t1
HG_224475	OG0224474: Ebro_g12514.t1
HG_227121	OG0227120: Ebro_g13508.t1
HG_224677	OG0224676: Ebro_g16654.t1
HG_227007	OG0227006: Ebro_g46230.t1
HG_227209	OG0227208: Ebro_g5047.t1
HG_224071	OG0224070: Ebro_g23838.t1
HG_224159	OG0224158: Ebro_g32291.t1
HG_225835	OG0225834: Ebro_g8262.t1
HG_83068	OG0083067: Ebro_g35390.t1 Ebro_g43176.t1 Ebro_g8566.t1
HG_225633	OG0225632: Ebro_g24865.t1
HG_83301	OG0083300: Ebro_g45488.t1 Ebro_g45491.t1 Ebro_g45503.t1
HG_225431	OG0225430: Ebro_g10081.t1
HG_225519	OG0225518: Ebro_g45040.t1
HG_42401	OG0042400: Ebro_g10108.t2 Ebro_g11532.t1 Ebro_g1680.t1 Ebro_g29313.t1 Ebro_g30740.t1 Ebro_g32628.t1 Ebro_g3884.t1
HG_225115	OG0225114: Ebro_g35823.t1
HG_225317	OG0225316: Ebro_g6695.t1
HG_83132	OG0083131: Ebro_g13664.t1 Ebro_g32582.t1 Ebro_g42091.t1
HG_66919	OG0066918: Ebro_g13752.t1 Ebro_g1673.t1 Ebro_g23126.t1 Ebro_g44696.t1
HG_66886	OG0066885: Ebro_g17039.t1 Ebro_g23247.t1 Ebro_g27245.t1 Ebro_g9079.t1
HG_34039	OG0034038: Ebro_g14995.t2 Ebro_g17048.t1 Ebro_g24994.t1 Ebro_g29837.t1 Ebro_g31769.t1 Ebro_g32971.t1 Ebro_g35604.t1 Ebro_g36042.t1 Ebro_g7068.t1
HG_66950	OG0066949: Ebro_g20008.t1 Ebro_g30155.t1 Ebro_g41931.t1 Ebro_g5700.t1
HG_113641	OG0113640: Ebro_g19032.t1 Ebro_g35090.t1
HG_113843	OG0113842: Ebro_g12771.t1 Ebro_g32071.t3
HG_226896	OG0226895: Ebro_g7915.t1
HG_113527	OG0113526: Ebro_g7194.t2 Ebro_g7194.t3
HG_113729	OG0113728: Ebro_g46197.t1 Ebro_g46197.t3
HG_226290	OG0226289: Ebro_g20418.t2
HG_226492	OG0226491: Ebro_g20603.t1
HG_226694	OG0226693: Ebro_g39230.t1
HG_226176	OG0226175: Ebro_g8980.t1
HG_226378	OG0226377: Ebro_g2495.t1
HG_224486	OG0224485: Ebro_g46469.t1
HG_227132	OG0227131: Ebro_g38983.t1
HG_224688	OG0224687: Ebro_g32973.t1
HG_224284	OG0224283: Ebro_g6108.t1
HG_225960	OG0225959: Ebro_g44737.t2
HG_67010	OG0067009: Ebro_g25203.t2 Ebro_g2682.t1 Ebro_g3411.t1 Ebro_g44215.t1
HG_227018	OG0227017: Ebro_g6867.t1
HG_224082	OG0224081: Ebro_g43291.t1
HG_225442	OG0225441: Ebro_g45391.t1
HG_55804	OG0055803: Ebro_g11356.t1 Ebro_g25688.t1 Ebro_g41336.t2 Ebro_g41962.t1 Ebro_g45131.t1
HG_225644	OG0225643: Ebro_g15803.t1
HG_225846	OG0225845: Ebro_g9940.t1
HG_225328	OG0225327: Ebro_g19753.t1
HG_225240	OG0225239: Ebro_g43639.t1
HG_226600	OG0226599: Ebro_g29306.t1
HG_226802	OG0226801: Ebro_g34225.t1
HG_225126	OG0225125: Ebro_g36546.t1
HG_25061	OG0025060: Ebro_g13241.t1 Ebro_g15952.t1 Ebro_g17904.t1 Ebro_g22717.t1 Ebro_g29875.t1 Ebro_g33132.t1 Ebro_g36529.t1 Ebro_g39174.t2 Ebro_g40197.t1 Ebro_g45002.t2 Ebro_g7300.t2 Ebro_g8008.t1 Ebro_g9681.t1
HG_55771	OG0055770: Ebro_g16029.t1 Ebro_g21273.t1 Ebro_g21784.t1 Ebro_g32132.t1 Ebro_g8936.t1
HG_224910	OG0224909: Ebro_g21797.t1
HG_21333	OG0021332: Ebro_g10935.t1 Ebro_g1217.t1 Ebro_g14012.t1 Ebro_g14754.t1 Ebro_g22780.t1 Ebro_g24721.t2 Ebro_g29128.t1 Ebro_g34958.t1 Ebro_g36965.t1 Ebro_g39057.t1 Ebro_g43629.t1 Ebro_g44361.t1 Ebro_g45127.t1 Ebro_g6453.t1 Ebro_g7827.t1 Ebro_g9135.t1
HG_12903	OG0012902: Ebro_g11113.t1 Ebro_g11114.t1 Ebro_g11183.t1 Ebro_g12135.t2 Ebro_g13635.t1 Ebro_g1455.t1 Ebro_g15002.t2 Ebro_g17213.t1 Ebro_g19223.t1 Ebro_g20811.t2 Ebro_g2166.t1 Ebro_g22186.t1 Ebro_g23558.t1 Ebro_g23559.t1 Ebro_g24430.t2 Ebro_g26632.t2 Ebro_g26763.t1 Ebro_g2851.t1 Ebro_g2851.t2 Ebro_g2851.t3 Ebro_g29067.t1 Ebro_g33205.t1 Ebro_g33525.t1 Ebro_g33972.t1 Ebro_g34167.t1 Ebro_g35612.t1 Ebro_g362.t1 Ebro_g36356.t1 Ebro_g40948.t1 Ebro_g41451.t1 Ebro_g42214.t1 Ebro_g42265.t2 Ebro_g4483.t1 Ebro_g45623.t1 Ebro_g560.t1 Ebro_g7544.t1
HG_12734	OG0012733: Ebro_g12082.t1 Ebro_g12087.t1 Ebro_g12091.t1 Ebro_g12635.t1 Ebro_g14769.t1 Ebro_g16074.t1 Ebro_g16376.t1 Ebro_g17358.t1 Ebro_g17359.t1 Ebro_g17659.t1 Ebro_g18074.t2 Ebro_g19967.t1 Ebro_g19968.t1 Ebro_g22326.t1 Ebro_g22327.t1 Ebro_g24671.t1 Ebro_g2511.t1 Ebro_g28187.t1 Ebro_g32255.t1 Ebro_g3277.t1 Ebro_g3278.t1 Ebro_g35189.t1 Ebro_g36577.t1 Ebro_g36578.t2 Ebro_g40698.t1 Ebro_g40900.t1 Ebro_g41269.t1 Ebro_g41594.t1 Ebro_g44520.t1 Ebro_g4546.t1 Ebro_g4915.t1 Ebro_g4916.t1 Ebro_g5978.t1 Ebro_g7382.t1 Ebro_g7890.t1 Ebro_g8498.t1 Ebro_g9598.t1
HG_15036	OG0015035: Ebro_g1295.t1 Ebro_g15175.t1 Ebro_g15975.t1 Ebro_g1780.t1 Ebro_g2017.t1 Ebro_g20593.t1 Ebro_g22686.t1 Ebro_g23702.t1 Ebro_g2385.t1 Ebro_g27440.t1 Ebro_g27476.t1 Ebro_g27477.t1 Ebro_g27478.t1 Ebro_g27656.t1 Ebro_g27871.t2 Ebro_g28119.t2 Ebro_g28999.t1 Ebro_g31978.t1 Ebro_g34484.t1 Ebro_g35535.t1 Ebro_g35565.t1 Ebro_g40073.t1 Ebro_g40667.t1 Ebro_g43850.t1 Ebro_g43854.t3 Ebro_g6337.t1 Ebro_g652.t1
HG_48048	OG0048047: Ebro_g22663.t1 Ebro_g29448.t1 Ebro_g37290.t1 Ebro_g37796.t1 Ebro_g8077.t1 Ebro_g8157.t1
HG_113854	OG0113853: Ebro_g17276.t1 Ebro_g17276.t2
HG_113652	OG0113651: Ebro_g16892.t1 Ebro_g30196.t1
HG_113538	OG0113537: Ebro_g12384.t1 Ebro_g12384.t2
HG_48112	OG0048111: Ebro_g22142.t1 Ebro_g22143.t1 Ebro_g22155.t1 Ebro_g22157.t2 Ebro_g22158.t1 Ebro_g2314.t1
HG_226187	OG0226186: Ebro_g39622.t1
HG_226389	OG0226388: Ebro_g34310.t1
HG_83219	OG0083218: Ebro_g16592.t1 Ebro_g17684.t1 Ebro_g17685.t3
HG_224699	OG0224698: Ebro_g43590.t1
HG_224295	OG0224294: Ebro_g26392.t1
HG_224093	OG0224092: Ebro_g30130.t1
HG_224497	OG0224496: Ebro_g19770.t1
HG_225971	OG0225970: Ebro_g10496.t1
HG_227029	OG0227028: Ebro_g24226.t1
HG_227143	OG0227142: Ebro_g28222.t1
HG_225857	OG0225856: Ebro_g44035.t1
HG_225251	OG0225250: Ebro_g32852.t1
HG_225453	OG0225452: Ebro_g40581.t1
HG_225655	OG0225654: Ebro_g1341.t1
HG_83186	OG0083185: Ebro_g46319.t1 Ebro_g46320.t1 Ebro_g9157.t1
HG_225137	OG0225136: Ebro_g17437.t1
HG_225339	OG0225338: Ebro_g11589.t1
HG_226611	OG0226610: Ebro_g35005.t1
HG_226813	OG0226812: Ebro_g3023.t1
HG_83114	OG0083113: Ebro_g10920.t1 Ebro_g10920.t2 Ebro_g10929.t1
HG_83250	OG0083249: Ebro_g25623.t1 Ebro_g31655.t1 Ebro_g41754.t2
HG_224921	OG0224920: Ebro_g22286.t1
HG_224605	OG0224604: Ebro_g3680.t1
HG_224807	OG0224806: Ebro_g8789.t1
HG_224403	OG0224402: Ebro_g12159.t1
HG_224201	OG0224200: Ebro_g35955.t1
HG_28575	OG0028574: Ebro_g13624.t2 Ebro_g17306.t1 Ebro_g24076.t1 Ebro_g2632.t1 Ebro_g31005.t1 Ebro_g33422.t1 Ebro_g35155.t1 Ebro_g36717.t1 Ebro_g36855.t1 Ebro_g38895.t1 Ebro_g8766.t1
HG_66932	OG0066931: Ebro_g18790.t1 Ebro_g18791.t1 Ebro_g18792.t1 Ebro_g30718.t1
HG_113865	OG0113864: Ebro_g14061.t1 Ebro_g1456.t1
HG_113663	OG0113662: Ebro_g17073.t1 Ebro_g24013.t1
HG_113549	OG0113548: Ebro_g36604.t1 Ebro_g36605.t1
HG_226198	OG0226197: Ebro_g39434.t1
HG_227154	OG0227153: Ebro_g42460.t1
HG_225982	OG0225981: Ebro_g29053.t1
HG_225780	OG0225779: Ebro_g12942.t1
HG_225868	OG0225867: Ebro_g44329.t1
HG_225262	OG0225261: Ebro_g41138.t1
HG_225464	OG0225463: Ebro_g28074.t1
HG_225666	OG0225665: Ebro_g12398.t1
HG_16990	OG0016989: Ebro_g13570.t1 Ebro_g14021.t1 Ebro_g14169.t1 Ebro_g14174.t1 Ebro_g19763.t1 Ebro_g20916.t1 Ebro_g20986.t1 Ebro_g24558.t1 Ebro_g26023.t2 Ebro_g26509.t1 Ebro_g26830.t1 Ebro_g29367.t1 Ebro_g30087.t1 Ebro_g30991.t1 Ebro_g33161.t1 Ebro_g35178.t1 Ebro_g35446.t1 Ebro_g38339.t1 Ebro_g3987.t2 Ebro_g42934.t1 Ebro_g7907.t1 Ebro_g9120.t1
HG_225060	OG0225059: Ebro_g11841.t1
HG_225148	OG0225147: Ebro_g42768.t1
HG_226420	OG0226419: Ebro_g9239.t1
HG_226622	OG0226621: Ebro_g13649.t1
HG_226824	OG0226823: Ebro_g15727.t1
HG_226306	OG0226305: Ebro_g14847.t1
HG_226508	OG0226507: Ebro_g3685.t1
HG_15733	OG0015732: Ebro_g10097.t1 Ebro_g11229.t1 Ebro_g13531.t1 Ebro_g14548.t1 Ebro_g16963.t1 Ebro_g18578.t1 Ebro_g28928.t1 Ebro_g29356.t1 Ebro_g30281.t2 Ebro_g32876.t1 Ebro_g3550.t2 Ebro_g3557.t1 Ebro_g38638.t1 Ebro_g38737.t1 Ebro_g41672.t1 Ebro_g42499.t1 Ebro_g4371.t1 Ebro_g43894.t1 Ebro_g43925.t1 Ebro_g44148.t1 Ebro_g46786.t1 Ebro_g5638.t1 Ebro_g5770.t2 Ebro_g658.t1 Ebro_g912.t1
HG_226104	OG0226103: Ebro_g21709.t1
HG_224730	OG0224729: Ebro_g24222.t1
HG_224932	OG0224931: Ebro_g32240.t1
HG_224414	OG0224413: Ebro_g45101.t1
HG_224616	OG0224615: Ebro_g41842.t1
HG_224818	OG0224817: Ebro_g32357.t1
HG_224212	OG0224211: Ebro_g8317.t1
HG_7821	OG0007820: Ebro_g10248.t1 Ebro_g10674.t1 Ebro_g1140.t1 Ebro_g11639.t1 Ebro_g119.t1 Ebro_g13716.t1 Ebro_g14008.t1 Ebro_g15808.t1 Ebro_g167.t1 Ebro_g16876.t1 Ebro_g16894.t1 Ebro_g17023.t1 Ebro_g18454.t1 Ebro_g18761.t1 Ebro_g19659.t1 Ebro_g19660.t1 Ebro_g210.t1 Ebro_g21237.t1 Ebro_g21238.t1 Ebro_g21398.t1 Ebro_g21710.t1 Ebro_g21830.t1 Ebro_g22170.t1 Ebro_g22457.t1 Ebro_g22777.t1 Ebro_g22956.t1 Ebro_g23556.t1 Ebro_g23687.t1 Ebro_g23688.t1 Ebro_g23980.t1 Ebro_g24172.t1 Ebro_g24547.t1 Ebro_g24766.t1 Ebro_g24893.t1 Ebro_g26149.t1 Ebro_g2676.t1 Ebro_g26911.t1 Ebro_g27243.t1 Ebro_g27346.t1 Ebro_g27426.t1 Ebro_g27743.t1 Ebro_g28052.t1 Ebro_g28472.t1 Ebro_g29518.t1 Ebro_g29560.t1 Ebro_g30141.t1 Ebro_g30187.t1 Ebro_g30456.t1 Ebro_g3104.t1 Ebro_g31653.t1 Ebro_g31718.t1 Ebro_g32448.t1 Ebro_g32466.t1 Ebro_g32467.t2 Ebro_g32595.t1 Ebro_g33168.t1 Ebro_g33323.t1 Ebro_g33811.t1 Ebro_g33837.t1 Ebro_g33838.t1 Ebro_g3399.t1 Ebro_g34953.t1 Ebro_g35537.t1 Ebro_g36274.t1 Ebro_g37864.t2 Ebro_g37864.t3 Ebro_g38314.t1 Ebro_g38505.t1 Ebro_g38597.t1 Ebro_g38632.t1 Ebro_g38633.t1 Ebro_g39262.t1 Ebro_g39493.t1 Ebro_g39935.t1 Ebro_g40386.t1 Ebro_g40461.t2 Ebro_g4067.t1 Ebro_g42049.t2 Ebro_g4273.t1 Ebro_g43019.t1 Ebro_g43209.t1 Ebro_g43551.t1 Ebro_g44058.t1 Ebro_g44735.t1 Ebro_g45476.t2 Ebro_g45757.t1 Ebro_g45795.t1 Ebro_g46297.t1 Ebro_g4642.t1 Ebro_g46570.t1 Ebro_g46718.t1 Ebro_g46719.t1 Ebro_g4983.t1 Ebro_g506.t1 Ebro_g5196.t1 Ebro_g6672.t1 Ebro_g6894.t1 Ebro_g6895.t1 Ebro_g7173.t1 Ebro_g7641.t1 Ebro_g7643.t1 Ebro_g7781.t1 Ebro_g7782.t1 Ebro_g786.t1 Ebro_g8251.t1 Ebro_g827.t1 Ebro_g828.t1 Ebro_g8330.t1 Ebro_g8836.t1 Ebro_g9419.t1 Ebro_g9616.t1 Ebro_g969.t1 Ebro_g9934.t1
HG_113674	OG0113673: Ebro_g21447.t1 Ebro_g21450.t1
HG_113876	OG0113875: Ebro_g35944.t1 Ebro_g35946.t1
HG_227165	OG0227164: Ebro_g8428.t1
HG_225791	OG0225790: Ebro_g46651.t1
HG_225993	OG0225992: Ebro_g5907.t1
HG_225677	OG0225676: Ebro_g18584.t1
HG_225879	OG0225878: Ebro_g37317.t1
HG_225071	OG0225070: Ebro_g18406.t1
HG_225273	OG0225272: Ebro_g16636.t2
HG_225475	OG0225474: Ebro_g32655.t1
HG_83168	OG0083167: Ebro_g32338.t1 Ebro_g32338.t3 Ebro_g32340.t1
HG_225159	OG0225158: Ebro_g39419.t1
HG_226835	OG0226834: Ebro_g24239.t1
HG_226431	OG0226430: Ebro_g42020.t2
HG_226633	OG0226632: Ebro_g11971.t1
HG_226115	OG0226114: Ebro_g19421.t1
HG_226317	OG0226316: Ebro_g7425.t1
HG_226519	OG0226518: Ebro_g16988.t1
HG_6456	OG0006455: Ebro_g1096.t1 Ebro_g11066.t1 Ebro_g11111.t1 Ebro_g1117.t1 Ebro_g1144.t1 Ebro_g1145.t1 Ebro_g11502.t2 Ebro_g11599.t1 Ebro_g11874.t1 Ebro_g12965.t1 Ebro_g13175.t1 Ebro_g13447.t1 Ebro_g13725.t1 Ebro_g13760.t1 Ebro_g14268.t1 Ebro_g14662.t1 Ebro_g14904.t2 Ebro_g15055.t1 Ebro_g15448.t1 Ebro_g15608.t1 Ebro_g15620.t1 Ebro_g1601.t1 Ebro_g1602.t1 Ebro_g16513.t1 Ebro_g1738.t1 Ebro_g17495.t1 Ebro_g17752.t1 Ebro_g17777.t2 Ebro_g18087.t1 Ebro_g18141.t1 Ebro_g18467.t1 Ebro_g18468.t1 Ebro_g18664.t1 Ebro_g19388.t1 Ebro_g19834.t1 Ebro_g19835.t1 Ebro_g20119.t1 Ebro_g20845.t1 Ebro_g21283.t1 Ebro_g21733.t1 Ebro_g22125.t1 Ebro_g22375.t1 Ebro_g22628.t1 Ebro_g22854.t1 Ebro_g23524.t2 Ebro_g24169.t1 Ebro_g25088.t1 Ebro_g25098.t1 Ebro_g25117.t1 Ebro_g25119.t1 Ebro_g25338.t1 Ebro_g25822.t1 Ebro_g2586.t1 Ebro_g25961.t1 Ebro_g26322.t1 Ebro_g26512.t1 Ebro_g26523.t1 Ebro_g27435.t1 Ebro_g27893.t1 Ebro_g28231.t1 Ebro_g29373.t1 Ebro_g29395.t1 Ebro_g29396.t1 Ebro_g29541.t1 Ebro_g2973.t2 Ebro_g30846.t1 Ebro_g30935.t1 Ebro_g3102.t1 Ebro_g3103.t1 Ebro_g31157.t1 Ebro_g3190.t1 Ebro_g31910.t1 Ebro_g32263.t1 Ebro_g32315.t1 Ebro_g32316.t1 Ebro_g32573.t1 Ebro_g32652.t1 Ebro_g33116.t2 Ebro_g33117.t1 Ebro_g33123.t1 Ebro_g33858.t1 Ebro_g3388.t1 Ebro_g34301.t1 Ebro_g34362.t1 Ebro_g34941.t1 Ebro_g34941.t3 Ebro_g35670.t1 Ebro_g35671.t1 Ebro_g35786.t1 Ebro_g36265.t1 Ebro_g36282.t1 Ebro_g36282.t2 Ebro_g36399.t1 Ebro_g36735.t1 Ebro_g36813.t1 Ebro_g37230.t1 Ebro_g3771.t1 Ebro_g37872.t1 Ebro_g38093.t1 Ebro_g38093.t2 Ebro_g38230.t1 Ebro_g38650.t1 Ebro_g38975.t1 Ebro_g38989.t1 Ebro_g3909.t1 Ebro_g39109.t1 Ebro_g39715.t1 Ebro_g39726.t1 Ebro_g40113.t1 Ebro_g41169.t1 Ebro_g41533.t1 Ebro_g42050.t1 Ebro_g42094.t1 Ebro_g42095.t1 Ebro_g42228.t1 Ebro_g42355.t1 Ebro_g42779.t1 Ebro_g4335.t1 Ebro_g43423.t1 Ebro_g43915.t1 Ebro_g43965.t1 Ebro_g44052.t1 Ebro_g44211.t1 Ebro_g44704.t1 Ebro_g4516.t1 Ebro_g45214.t1 Ebro_g45351.t1 Ebro_g45733.t1 Ebro_g46009.t1 Ebro_g46288.t1 Ebro_g46325.t1 Ebro_g5085.t1 Ebro_g5330.t1 Ebro_g5413.t1 Ebro_g5414.t1 Ebro_g551.t1 Ebro_g5534.t1 Ebro_g5584.t1 Ebro_g57.t1 Ebro_g6556.t1 Ebro_g6663.t1 Ebro_g731.t1 Ebro_g7433.t2 Ebro_g7787.t1 Ebro_g8417.t1 Ebro_g8463.t1 Ebro_g8646.t1 Ebro_g8647.t1 Ebro_g8841.t1 Ebro_g9410.t1 Ebro_g9760.t1
HG_224943	OG0224942: Ebro_g44473.t1
HG_83232	OG0083231: Ebro_g1380.t1 Ebro_g21185.t1 Ebro_g39934.t1
HG_224741	OG0224740: Ebro_g16663.t1
HG_224829	OG0224828: Ebro_g18493.t1
HG_224223	OG0224222: Ebro_g33352.t1
